step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
102,4748,204,0.08103644979761158,0.5,0.5,,,,,
103,4798,206,0.06384221732170166,1.0,1.0,,,,,
104,4848,208,0.0940317993396214,0.0,0.0,,,,,
105,4898,210,0.07534855176035006,0.5,0.5,0.08175144333399657,0.5,0.5,,
106,4932,212,0.10271218202542513,1.0,1.0,,,,,
107,4982,214,0.051611839029283145,1.0,1.0,,,,,
108,5032,216,0.0497188441978263,1.0,1.0,,,,,
109,5082,218,0.038773858713975644,1.0,1.0,,,,,
110,5132,220,0.04686129818113841,1.0,1.0,,,,,
111,5166,222,0.13988321689097574,0.0,0.0,,,,,
112,5216,224,0.16406469386606964,0.0,0.0,,,,,
113,5266,226,0.06370818612806033,0.5,0.5,0.030543863990084602,1.0,1.0,,
114,5316,228,0.06325543360691274,0.5,0.5,,,,,
115,5350,230,0.09966844215497986,0.5,0.5,,,,,
116,5400,232,0.09618705821719535,0.5,0.5,,,,,
117,5434,234,0.07413179019911695,1.0,1.0,,,,,
118,5484,236,0.03356728681193393,1.0,1.0,,,,,
119,5534,238,0.07992879107907357,0.5,0.5,,,,,
120,5568,240,0.07954130292917398,0.5,0.5,,,,,
121,5618,242,0.07375519497344309,0.0,0.0,0.08546692437402573,0.5,0.5,,
122,5668,244,0.056709838915606575,1.0,1.0,,,,,
123,5718,246,0.07133374707755138,0.0,0.0,,,,,
124,5768,248,0.06765348631520586,0.5,0.5,,,,,
125,5818,250,0.0982433345118746,0.0,0.0,,,,,
126,5852,252,0.054995051063633574,1.0,1.0,,,,,
127,5902,254,0.024523859611302518,1.0,1.0,,,,,
128,5952,256,0.0614852180104693,0.5,0.5,,,,,
129,6002,258,0.05585400312234317,0.5,0.5,0.07848303614560184,0.5,0.5,,
130,6052,260,0.09432370209568035,0.5,0.5,,,,,
131,6102,262,0.06694636300480246,0.5,0.5,,,,,
132,6136,264,0.11157266654054183,0.0,0.0,,,,,
133,6170,266,0.05086153393634959,1.0,1.0,,,,,
134,6220,268,0.027518441703796265,1.0,1.0,,,,,
135,6254,270,0.08814815030222234,0.5,0.5,,,,,
136,6304,272,0.029280635302554096,1.0,1.0,,,,,
137,6354,274,0.029832422032365385,1.0,1.0,0.04889422265053629,1.0,1.0,,
138,6388,276,0.04881006112764225,1.0,1.0,,,,,
139,6438,278,0.05740265538136252,0.5,0.5,,,,,
140,6472,280,0.048685425940129784,1.0,1.0,,,,,
141,6538,282,0.05224221874385876,0.5,0.5,,,,,
142,6588,284,0.03762315923574837,1.0,1.0,,,,,
143,6622,286,0.034955644123219824,1.0,1.0,,,,,
144,6672,288,0.07820491469611927,0.5,0.5,,,,,
145,6722,290,0.07515771229102634,0.5,0.5,0.028599954185240972,1.0,1.0,,
146,6772,292,0.027668464329108248,1.0,1.0,,,,,
147,6822,294,0.043105681168848,1.0,1.0,,,,,
148,6872,296,0.08431729041013264,0.5,0.5,,,,,
149,6922,298,0.11473499500665031,0.0,0.0,,,,,
150,6972,300,0.13572546804468097,0.5,0.5,,,,,
151,7022,302,0.10397955869164434,0.0,0.0,,,,,
152,7056,304,0.19575710389855885,0.0,0.0,,,,,
153,7106,306,0.03787785744725624,1.0,1.0,0.04038959002700721,1.0,1.0,,
154,7156,308,0.06088544347790351,0.5,0.5,,,,,
155,7206,310,0.06203744654098652,1.0,1.0,,,,,
156,7256,312,0.05205497558862893,0.5,0.5,,,,,
157,7306,314,0.13735464158649846,0.0,0.0,,,,,
158,7340,316,0.08944817675268496,0.5,0.5,,,,,
159,7374,318,0.12473291322814477,0.0,0.0,,,,,
160,7408,320,0.08680768469346731,0.5,0.5,,,,,
161,7458,322,0.09846844780805745,0.0,0.0,0.035662053364176244,1.0,1.0,,
162,7492,324,0.06977552787713648,0.5,0.5,,,,,
163,7542,326,0.03816022549811653,1.0,1.0,,,,,
164,7592,328,0.024898411384347133,1.0,1.0,,,,,
165,7626,330,0.057786523617050986,1.0,1.0,,,,,
166,7676,332,0.04160925486779889,1.0,1.0,,,,,
167,7726,334,0.03204733913757082,1.0,1.0,,,,,
168,7760,336,0.056799490778175823,1.0,1.0,,,,,
169,7810,338,0.044726819231655106,1.0,1.0,0.034112976095542154,1.0,1.0,,
170,7860,340,0.03260832822926507,1.0,1.0,,,,,
171,7910,342,0.1285569676204735,0.0,0.0,,,,,
172,7960,344,0.03960605861022486,1.0,1.0,,,,,
173,8010,346,0.09995357066758516,0.5,0.5,,,,,
174,8060,348,0.04857963427006325,0.5,0.5,,,,,
175,8110,350,0.07834388026210339,0.5,0.5,,,,,
176,8144,352,0.08194204316529066,0.5,0.5,,,,,
177,8194,354,0.031209965912409345,1.0,1.0,0.03014759341465833,1.0,1.0,,
178,8228,356,0.04493556223424093,1.0,1.0,,,,,
179,8278,358,0.03279748954862346,1.0,1.0,,,,,
180,8328,360,0.11834869385723018,0.5,0.5,,,,,
181,8362,362,0.032895755612025825,1.0,1.0,,,,,
182,8396,364,0.05191766965552233,1.0,1.0,,,,,
183,8446,366,0.031656838770577456,1.0,1.0,,,,,
184,8496,368,0.04271120029234832,1.0,1.0,,,,,
185,8530,370,0.13893427898701705,0.0,0.0,0.034542252748566774,1.0,1.0,,
186,8580,372,0.11576413143912458,0.0,0.0,,,,,
187,8630,374,0.05233279134549473,1.0,1.0,,,,,
188,8680,376,0.06604520989809923,0.5,0.5,,,,,
189,8714,378,0.08635298433247954,0.5,0.5,,,,,
190,8764,380,0.030193440687532228,1.0,1.0,,,,,
191,8814,382,0.02390611073647354,1.0,1.0,,,,,
192,8864,384,0.08709784566155576,0.5,0.5,,,,,
193,8914,386,0.04443385235911895,1.0,1.0,0.043657389360087104,1.0,1.0,,
194,8948,388,0.029000244250164543,1.0,1.0,,,,,
195,9014,390,0.02604156766559754,1.0,1.0,,,,,
196,9064,392,0.15081191338210678,0.5,0.5,,,,,
197,9098,394,0.07365390573831973,0.5,0.5,,,,,
198,9148,396,0.08358424581276873,0.5,0.5,,,,,
199,9182,398,0.08842129457450937,0.5,0.5,,,,,
200,9232,400,0.047766252285412834,1.0,1.0,,,,,
201,9282,402,0.15047741542570292,0.5,0.5,0.05632244787295349,1.0,1.0,,
202,9332,404,0.03934133921982721,1.0,1.0,,,,,
203,9382,406,0.04138575863093138,1.0,1.0,,,,,
204,9432,408,0.042202386135856314,1.0,1.0,,,,,
205,9482,410,0.06102072752080859,0.5,0.5,,,,,
206,9532,412,0.07919028061597297,0.5,0.5,,,,,
207,9582,414,0.03909682575458039,1.0,1.0,,,,,
208,9632,416,0.06333622576513638,0.5,0.5,,,,,
209,9666,418,0.06582820588722825,0.5,0.5,0.030237725464782365,1.0,1.0,,
210,9716,420,0.03515334262357404,1.0,1.0,,,,,
211,9766,422,0.08136801163937585,0.5,0.5,,,,,
212,9816,424,0.03839187157650789,1.0,1.0,,,,,
213,9866,426,0.054888388348044825,0.5,0.5,,,,,
214,9916,428,0.06258646871499271,1.0,1.0,,,,,
215,9966,430,0.04885444411464656,1.0,1.0,,,,,
216,10000,432,0.06615329242522422,1.0,1.0,,,,,
217,10034,434,0.05244483189890161,1.0,1.0,0.14271758407509574,0.5,0.5,,
218,10084,436,0.02236031156634757,1.0,1.0,,,,,
219,10134,438,0.028574451200256593,1.0,1.0,,,,,
220,10184,440,0.025922893427584012,1.0,1.0,,,,,
221,10234,442,0.06621038329263683,0.5,0.5,,,,,
222,10268,444,0.12274466129441862,0.0,0.0,,,,,
223,10318,446,0.05094782709813444,0.5,0.5,,,,,
224,10368,448,0.038345248801633716,1.0,1.0,,,,,
225,10418,450,0.15382549559687808,0.0,0.0,0.03628930969629436,1.0,1.0,,
226,10468,452,0.044678394958706735,1.0,1.0,,,,,
227,10518,454,0.06370064658743407,0.5,0.5,,,,,
228,10552,456,0.12251054819684215,0.5,0.5,,,,,
229,10602,458,0.06260231109064383,0.5,0.5,,,,,
230,10652,460,0.032593357689014134,1.0,1.0,,,,,
231,10702,462,0.033965313408213356,1.0,1.0,,,,,
232,10752,464,0.046982643472341205,0.5,0.5,,,,,
233,10802,466,0.05004998239438766,0.5,0.5,0.0658984220128817,0.5,0.5,,
234,10852,468,0.0864569291586061,0.5,0.5,,,,,
235,10902,470,0.04238835745112738,0.5,0.5,,,,,
236,10952,472,0.03519995345248996,1.0,1.0,,,,,
237,11002,474,0.054531434347736656,1.0,1.0,,,,,
238,11052,476,0.061964136691434156,0.5,0.5,,,,,
239,11086,478,0.1850877640394174,0.0,0.0,,,,,
240,11136,480,0.026636447971686725,1.0,1.0,,,,,
241,11170,482,0.046708598655095565,1.0,1.0,0.04740116339264204,1.0,1.0,,
242,11204,484,0.07336925888474069,0.5,0.5,,,,,
243,11238,486,0.04868983777148969,1.0,1.0,,,,,
244,11288,488,0.026866680263774475,1.0,1.0,,,,,
245,11322,490,0.09542543477888102,0.5,0.5,,,,,
246,11372,492,0.05569228106704638,0.5,0.5,,,,,
247,11422,494,0.04488662712591273,1.0,1.0,,,,,
248,11472,496,0.10377056257076522,0.5,0.5,,,,,
249,11506,498,0.034194267249986296,1.0,1.0,0.028670873333661195,1.0,1.0,,
250,11556,500,0.04108042505608561,1.0,1.0,,,,,
251,11606,502,0.02816308566674706,1.0,1.0,,,,,
252,11640,504,0.026536621954037398,1.0,1.0,,,,,
253,11690,506,0.034959298276323054,1.0,1.0,,,,,
254,11740,508,0.07996127018096255,0.5,0.5,,,,,
255,11790,510,0.048946908129970934,0.5,0.5,,,,,
256,11840,512,0.0251018901525822,1.0,1.0,,,,,
257,11890,514,0.032733257393750444,1.0,1.0,0.16173188692901022,0.5,0.5,,
258,11924,516,0.04763548030667152,1.0,1.0,,,,,
259,11974,518,0.023116778321079137,1.0,1.0,,,,,
260,12024,520,0.021431047802082808,1.0,1.0,,,,,
261,12074,522,0.019511172714604376,1.0,1.0,,,,,
262,12124,524,0.03052115253471129,1.0,1.0,,,,,
263,12158,526,0.02913138248732139,1.0,1.0,,,,,
264,12192,528,0.062236608559633165,0.5,0.5,,,,,
265,12242,530,0.03269134485691514,1.0,1.0,0.025428362031416327,1.0,1.0,,
266,12292,532,0.07038495758993425,0.5,0.5,,,,,
267,12342,534,0.01889465353238241,1.0,1.0,,,,,
268,12392,536,0.02571173370476269,1.0,1.0,,,,,
269,12442,538,0.029425624655680924,1.0,1.0,,,,,
270,12476,540,0.03210617077329516,1.0,1.0,,,,,
271,12526,542,0.14630375368302337,0.5,0.5,,,,,
272,12576,544,0.06943187255965313,0.5,0.5,,,,,
273,12626,546,0.02657764364417138,1.0,1.0,0.07020008348791937,0.5,0.5,,
274,12660,548,0.10558489548580838,0.5,0.5,,,,,
275,12710,550,0.05355038986056266,0.5,0.5,,,,,
276,12744,552,0.04470770632022322,1.0,1.0,,,,,
277,12794,554,0.022905192867910956,1.0,1.0,,,,,
278,12844,556,0.037789661829750305,1.0,1.0,,,,,
